trainStation,departureTime
8502181,00832 
8502194,00834 
8502180,00838 
8502195,00840 
8502179,00841 
8502178,00843 
8502197,00845 
8502177,00846 
8502199,00912 
8502177,00913 
8502197,00915 
8502178,00917 
8502179,00918 
8502195,00920 
8502180,00921 
8502194,00925 
8502181,00926 
8502182,00927 
8502196,00928 
8502192,00930 
8502191,00931 
8502113,00854 
8502191,00855 
8502192,00857 
8502196,00859 
8502182,00900 
8502181,00902 
8502194,00904 
8502180,00908 
8502195,00910 
8502179,00911 
8502178,00913 
8502197,00915 
8502177,00916 
8502199,00942 
8502177,00943 
8502197,00945 
8502178,00947 
8502179,00948 
8502195,00950 
8502180,00951 
8502194,00955 
8502181,00956 
8502182,00957 
8502196,00958 
8502192,01000 
8502191,01001 
8502113,00924 
8502191,00925 
8502192,00927 
8502196,00929 
8502182,00930 
8502181,00932 
8502194,00934 
8502180,00938 
8502195,00940 
8502179,00941 
8502178,00943 
8502197,00945 
8502177,00946 
8502199,01012 
8502177,01013 
8502197,01015 
8502178,01017 
8502179,01018 
8502195,01020 
8502180,01021 
8502194,01025 
8502181,01026 
8502182,01027 
8502196,01028 
8502192,01030 
8502191,01031 
8502113,00954 
8502191,00955 
8502192,00957 
8502196,00959 
8502182,01000 
8502181,01002 
8502194,01004 
8502180,01008 
8502195,01010 
8502179,01011 
8502178,01013 
8502197,01015 
8502177,01016 
8502199,01042 
8502177,01043 
8502197,01045 
8502178,01047 
8502179,01048 
8502195,01050 
8502180,01051 
8502194,01055 
8502181,01056 
8502182,01057 
8502196,01058 
8502192,01100 
8502191,01101 
8502113,01024 
8502191,01025 
8502192,01027 
8502196,01029 
8502182,01030 
8502181,01032 
8502194,01034 
8502180,01038 
8502195,01040 
8502179,01041 
8502178,01043 
8502197,01045 
8502177,01046 
8502199,01112 
8502177,01113 
8502197,01115 
8502178,01117 
8502179,01118 
8502195,01120 
8502180,01121 
8502194,01125 
8502181,01126 
8502182,01127 
8502196,01128 
8502192,01130 
8502191,01131 
8502113,01054 
8502191,01055 
8502192,01057 
8502196,01059 
8502182,01100 
8502181,01102 
8502194,01104 
8502180,01108 
8502195,01110 
8502179,01111 
8502178,01113 
8502197,01115 
8502177,01116 
8502199,01142 
8502177,01143 
8502197,01145 
8502178,01147 
8502179,01148 
8502195,01150 
8502180,01151 
8502194,01155 
8502181,01156 
8502182,01157 
8502196,01158 
8502192,01200 
8502191,01201 
8502113,01124 
8502191,01125 
8502192,01127 
8502196,01129 
8502182,01130 
8502181,01132 
8502194,01134 
8502180,01138 
8502195,01140 
8502179,01141 
8502178,01143 
8502197,01145 
8502177,01146 
8502199,01212 
8502177,01213 
8502197,01215 
8502178,01217 
8502179,01218 
8502195,01220 
8502180,01221 
8502194,01225 
8502181,01226 
8502182,01227 
8502196,01228 
8502192,01230 
8502191,01231 
8502113,01154 
8502191,01155 
8502192,01157 
8502196,01159 
8502182,01200 
8502181,01202 
8502194,01204 
8502180,01208 
8502195,01210 
8502179,01211 
8502178,01213 
8502197,01215 
8502177,01216 
8502199,01242 
8502177,01243 
8502197,01245 
8502178,01247 
8502179,01248 
8502195,01250 
8502180,01251 
8502194,01255 
8502181,01256 
8502182,01257 
8502196,01258 
8502192,01300 
8502191,01301 
8502113,01224 
8502191,01225 
8502192,01227 
8502196,01229 
8502182,01230 
8502181,01232 
8502194,01234 
8502180,01238 
8502195,01240 
8502179,01241 
8502178,01243 
8502197,01245 
8502177,01246 
8502199,01312 
8502177,01313 
8502197,01315 
8502178,01317 
8502179,01318 
8502195,01320 
8502180,01321 
8502194,01325 
8502181,01326 
8502182,01327 
8502196,01328 
8502192,01330 
8502191,01331 
8502113,01254 
8502191,01255 
8502192,01257 
8502196,01259 
8502182,01300 
8502181,01302 
8502194,01304 
8502180,01308 
8502195,01310 
8502179,01311 
8502178,01313 
8502197,01315 
8502177,01316 
8502199,01342 
8502177,01343 
8502197,01345 
8502178,01347 
8502179,01348 
8502195,01350 
8502180,01351 
8502194,01355 
8502181,01356 
8502182,01357 
8502196,01358 
8502192,01400 
8502191,01401 
8502113,01324 
8502191,01325 
8502192,01327 
8502196,01329 
8502182,01330 
8502181,01332 
8502194,01334 
8502180,01338 
8502195,01340 
8502179,01341 
8502178,01343 
8502197,01345 
8502177,01346 
8502199,01412 
8502177,01413 
8502197,01415 
8502178,01417 
8502179,01418 
8502195,01420 
8502180,01421 
8502194,01425 
8502181,01426 
8502182,01427 
8502196,01428 
8502192,01430 
8502191,01431 
8502113,01354 
8502191,01355 
8502192,01357 
8502196,01359 
8502182,01400 
8502181,01402 
8502194,01404 
8502180,01408 
8502195,01410 
8502179,01411 
8502178,01413 
8502197,01415 
8502177,01416 
